y	y_pred
23.25	19
23.03	19
22.87	19
22.86	19
22.82	18
22.91	18
23.69	19
23.72	19
24.03	20
23.86	20
23.68	19
24.39	20
24.36	20
24.95	21
24.46	19
25.35	21
25.3	21
24.94	21
24.93	21
24.55	20
24.62	20
24.94	21
24.52	20
24.78	20
24.97	20
26.7	23
26.25	22
26.58	22
28.02	24
28.15	24
28.3	24
29.98	26
30.1	27
28.89	25
29.17	26
29.5	26
30.45	27
30.46	27
30.63	29
28.38	25
28.66	25
28.49	25
27.72	24
28.27	24
30	27
30.08	26
31.5	28
32.29	30
31.58	29
32.12	29
32.75	30
34	32
33.65	32
32.81	30
34.94	33
35.26	33
36.59	35
36.57	35
36.02	34
37.9	37
36.05	33
39.25	37
40.04	39
40.15	39
38.81	38
38.18	38
34.36	32
35.52	34
34.22	33
33.08	31
33.56	31
34.92	33
34.02	32
34.57	33
33.86	31
35.31	33
37.27	36
37.09	35
38.1	37
38.29	37
37	36
34.97	33
35.66	34
35.39	33
37.85	36
38.07	37
37.21	36
37.2	36
36.18	35
36.22	35
36.36	41
35.73	40
36.69	41
36.9	41
36.04	40
35.57	40
36.35	41
35.92	40
36.42	41
35.82	40
36.41	40
38.6	43
36.98	42
36.57	41
36.49	41
36.43	41
36.38	41
37.05	42
36.06	40
35	40
31.71	35
31.1	34
31.12	35
28.01	29
28.82	30
29.28	32
28.45	30
28.71	30
29.65	32
28.45	30
29.42	31
29.74	32
30.5	33
31.22	34
31.32	34
32.55	36
32.37	36
32.24	35
32.35	36
31.52	34
32.15	35
33.3	37
32.67	36
32.68	36
33.62	37
33.99	38
33.15	37
32.72	36
32.81	36
32.01	35
31.74	35
32.05	35
31.65	35
31.36	35
29.01	31
29.49	31
30.43	33
29.62	32
29.84	32
30.15	32
30.82	34
30.09	32
29.99	32
29.96	32
30.7	33
31.64	35
31.2	34
31.2	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	34
31.31	35
28.18	31
25.36	27
22.82	23
20.54	20
18.49	17
16.64	15
14.98	13
13.48	10
13.28	10
12.85	9
12.92	9
13.03	10
12.23	8
13.45	10
13.8	11
13	9
13.04	9
13.1	10
12.69	10
12.1	8
13.31	10
14.1	10
15.51	12
17.06	15
16.53	13
16.85	14
16.52	13
16.62	14
16.68	14
16.31	14
15.34	12
15.43	13
15.08	12
14.6	11
14.67	12
14.03	11
13.35	10
13.2	9
13.7	11
13	9
14.3	11
14.5	10
15.39	11
16.3	14
15.62	12
15.86	13
15.9	12
16.33	13
16.34	14
16.03	12
17.38	15
17.14	13
18.4	15
18.95	16
19.45	18
18.95	17
19.09	18
18.15	15
18.55	16
18.81	17
18.69	17
18.09	17
17.06	14
17.45	15
17.26	14
18.55	16
18.36	16
18.34	16
18.44	16
18.18	16
18.29	16
18.59	16
18.73	16
18.92	17
18.38	16
18.3	17
16.81	14
16.8	14
16.85	15
15.17	12
15.6	12
15.97	13
15.7	12
16.18	14
15.7	12
16.57	13
17.79	16
17.34	15
17.29	15
17.44	15
17.25	14
17.45	15
16.89	14
16.93	14
17.2	14
18.34	16
18.23	15
19.03	16
19.59	18
19.4	17
19.87	18
20.2	18
20.3	19
19.87	18
20.2	17
21.79	21
21.73	22
20.51	19
20.8	20
20.46	20
19.77	17
20.43	18
20.99	20
20.56	20
19.49	17
19.87	17
